"subject" "activity" "label" "tBodyAccMean-X" "tBodyAccMean-Y" "tBodyAccMean-Z" "tBodyAccStd-X" "tBodyAccStd-Y" "tBodyAccStd-Z" "tGravityAccMean-X" "tGravityAccMean-Y" "tGravityAccMean-Z" "tGravityAccStd-X" "tGravityAccStd-Y" "tGravityAccStd-Z" "tBodyAccJerkMean-X" "tBodyAccJerkMean-Y" "tBodyAccJerkMean-Z" "tBodyAccJerkStd-X" "tBodyAccJerkStd-Y" "tBodyAccJerkStd-Z" "tBodyGyroMean-X" "tBodyGyroMean-Y" "tBodyGyroMean-Z" "tBodyGyroStd-X" "tBodyGyroStd-Y" "tBodyGyroStd-Z" "tBodyGyroJerkMean-X" "tBodyGyroJerkMean-Y" "tBodyGyroJerkMean-Z" "tBodyGyroJerkStd-X" "tBodyGyroJerkStd-Y" "tBodyGyroJerkStd-Z" "tBodyAccMagMean" "tBodyAccMagStd" "tGravityAccMagMean" "tGravityAccMagStd" "tBodyAccJerkMagMean" "tBodyAccJerkMagStd" "tBodyGyroMagMean" "tBodyGyroMagStd" "tBodyGyroJerkMagMean" "tBodyGyroJerkMagStd" "fBodyAccMean-X" "fBodyAccMean-Y" "fBodyAccMean-Z" "fBodyAccStd-X" "fBodyAccStd-Y" "fBodyAccStd-Z" "fBodyAccJerkMean-X" "fBodyAccJerkMean-Y" "fBodyAccJerkMean-Z" "fBodyAccJerkStd-X" "fBodyAccJerkStd-Y" "fBodyAccJerkStd-Z" "fBodyGyroMean-X" "fBodyGyroMean-Y" "fBodyGyroMean-Z" "fBodyGyroStd-X" "fBodyGyroStd-Y" "fBodyGyroStd-Z" "fBodyAccMagMean" "fBodyAccMagStd" "fBodyBodyAccJerkMagMean" "fBodyBodyAccJerkMagStd" "fBodyBodyGyroMagMean" "fBodyBodyGyroMagStd" "fBodyBodyGyroJerkMagMean" "fBodyBodyGyroJerkMagStd" "NA"
1 1 4 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227378 -0.502645746562824 -0.580162894375792 -0.391228161564121 -0.488074652257637 -0.39732624422928 -0.272417234574121 -0.471025510180922 0.419189414523343 0.291387598243516 0.57869983345245 -0.447862824369741 -0.817833275504323 -0.868582888263401 -0.810084107060519 -0.644456855585014 -0.568967356373228 -0.482946202789625 -0.0365021560682997 0.0119978297463977 -0.183984055858386 -0.155288480178098 0.184760549945187 -0.102987500446311 0.114308211720461 -0.0364532959878963 0.0507943075201153 0.144962177056196 -0.0198872924841499 0.015159402087464 0.0522041628935735 0.021503545715072 -0.132982874432248 -0.203503298779781 -0.140663320581729 0.196151041060519 0.744867411573487 -0.0825562579855908 0.072339870389049 -0.959859435936599 -0.951150627458213 -0.925817590867435 -0.960843263371758 -0.952141805481268 -0.927662317685879 0.685625310654179 -0.0940767616887608 0.0809471901137464 0.755565907392795 -0.0701719489538905 0.0565659885294813 -0.0367570221189337 0.527750462829971 -0.705210404625072 -0.863346584158501 -0.963156464351585 -0.954967717455331 -0.933618187080692 -0.592114919964553 -0.866636481941499 -0.861511856859078 -0.47650683352536 0.521803532596542
3 1 4 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255 -0.65376509042522 -0.488785606255718 -0.649033311199414 -0.4443462411261 -0.302140261428739 -0.596355164193548 0.531481667504985 0.358242863725367 0.630837525601173 -0.562589844666276 -0.85568299601173 -0.904452012463343 -0.901595177214076 -0.71944585058651 -0.604739504055719 -0.654924374143695 -0.0680340080715543 -0.0593208162140762 -0.11482503892522 -0.142724642072434 0.157514127422581 -0.0902556417754545 0.131896812657185 -0.0879713878797361 0.105369476678006 0.0913271923170381 -0.00852608200967742 -0.0740401061639296 0.0836290665301759 0.0439367115693842 -0.139945596200968 -0.193681127878446 -0.2262186405 0.156544326025806 0.707814353343108 -0.0260590480328739 0.0480937904190616 -0.966457565630499 -0.9445645371261 -0.926966278211144 -0.967122556070381 -0.945588863665689 -0.928644746334311 0.64650524568915 -0.036980483313783 0.0554612180214076 0.721778084809384 -0.016086882140176 0.0319191401343109 0.021561393374956 0.470926521057185 -0.625185177360704 -0.877382054105572 -0.968925172697947 -0.949312054046921 -0.934206083841642 -0.620120978782111 -0.847872156865103 -0.781166198486803 -0.493810200233138 0.533746394296481
5 1 4 0.279177960301325 -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.402724906078146 -0.646443640175497 -0.537623406579801 -0.424937693851325 -0.635704667196026 -0.376145829957616 -0.207047536694503 -0.589110798350993 0.45007940642649 0.336415672215563 0.62629625692053 -0.47788460870596 -0.751051251327152 -0.873786805264901 -0.901031949735099 -0.593892349048675 -0.575178299996689 -0.631187014975132 -0.00858310340976821 -0.0468653791225166 -0.112474167952848 -0.192381729093874 0.177541515263576 -0.0533248742139073 0.0865131951649669 -0.0580731491602649 0.0864457894826821 0.167500221396391 -0.0452953250949702 -0.0770826930847682 0.0967244864009934 0.0506528939152649 -0.209385103703974 -0.104839780834437 -0.139099290978245 0.183328842972351 0.698153719072848 0.112313109736755 0.0921607197449904 -0.964629108807947 -0.939973777950331 -0.94207867884106 -0.965895466821192 -0.940653987218543 -0.943781204768212 0.639236726324503 0.0985090502677152 0.0957463967652318 0.712006124205298 0.119259080236563 0.0797859964731788 -0.499615238692053 0.533345902450331 -0.638779938609272 -0.959185352781457 -0.969028552549669 -0.942997329933775 -0.949377206258278 -0.82456298785596 -0.817221006440397 -0.561294734446689 -0.470476162371192 0.508771124009934
6 1 4 0.272376614181538 -0.0175697042641846 -0.11599454136 -0.505086085072062 -0.368403670137262 -0.672512004586708 -0.540118251305108 -0.395514397426154 -0.674839016569231 -0.344451076048923 -0.212445262262585 -0.576883291249231 0.427462183598769 0.282534472614154 0.613622803856 -0.480941055469846 -0.738697140396308 -0.854093671384615 -0.908105173538462 -0.616390698625846 -0.566693975347385 -0.688043361904615 -0.0707470696049231 -0.0189952273910769 -0.152465731317538 -0.168102093854154 0.177619909542338 -0.0301235075574462 0.0836559828899385 -0.0900331758864 0.0874170197966154 0.229978738453385 -0.135779333180308 0.0219830392809231 0.0532336704303077 0.0858980525064308 -0.176367270726462 -0.126558502648615 -0.246513669849846 0.112372982983877 0.688702063569231 0.0162055455953846 0.0475199990906462 -0.958898709015385 -0.9509348864 -0.937910223507692 -0.959667484707692 -0.951859228861539 -0.938935432646154 0.631756335876923 0.00173659218307692 0.0531021496005169 0.701437287692308 0.0271521848569231 0.0351163873323662 -0.336792015408615 0.510531183323077 -0.597126175753846 -0.962766420769231 -0.961814964123077 -0.954778458153846 -0.943235337384615 -0.737285565840308 -0.918893231647077 -0.573168587756923 -0.404159864898462 0.450747925321846
7 1 4 0.270211697814935 -0.0187904887668182 -0.112492375388312 -0.577518324748052 -0.546403365345779 -0.456473642256981 -0.602693080815584 -0.570104252656169 -0.463887150084221 -0.4229271579 -0.348846664473052 -0.55470264698052 0.553352931266234 0.395843356140227 0.44594118732987 -0.50603718741211 -0.823076146071429 -0.926625718928571 -0.755711185061688 -0.67111344946526 -0.70179898025974 -0.524368312115042 -0.0872278932733766 -0.0760876246292208 -0.00951123045974026 -0.188167327884091 0.132835141975877 -0.0574241475924351 0.166010880625844 -0.0654467113491234 0.0524158594487013 0.150397422401136 -0.047606197925 -0.0964835395146104 0.100314826760714 0.00914211636272727 -0.065568199199026 -0.102072422787987 -0.329067720718831 0.282343572058539 0.681289120844156 -0.0420221452496753 0.0342160711928604 -0.956538178587662 -0.955312554090909 -0.923304724090909 -0.957590645532468 -0.956020659545455 -0.92460291038961 0.624080358957792 -0.054891862738961 0.0432944083109416 0.692334368993507 -0.027371828084026 0.0182738758205844 -0.211339534241234 0.493419396363636 -0.901388614698052 -0.620267166957792 -0.960874723308442 -0.95914598801948 -0.929479783214286 -0.698070976636364 -0.859744592302922 -0.703084700048701 -0.546004001425325 0.58824952675974
8 1 4 0.278268887727273 -0.0144537072594949 -0.109006309141414 -0.74865488820202 -0.563450610434343 -0.764554510484848 -0.763270463989899 -0.593780998090909 -0.763696163293939 -0.643251395676768 -0.338839881803939 -0.637858277575758 0.61875389879798 0.388182231585859 0.712156271414141 -0.688829584112121 -0.901104938383838 -0.893142263636364 -0.925829394343434 -0.786212846868687 -0.71456303689899 -0.772874038515151 -0.270460245777778 -0.254302853979798 -0.327301232876768 0.0191065533252525 0.0319600758343434 -0.0614314535818182 0.192512164234343 0.0791154386818182 -0.0569094307830303 0.211656920532323 -0.0272048854118182 0.142993934436364 -0.064290218730303 0.128278025447879 -0.141941109427273 -0.152182372337374 -0.128375551416162 0.0196009801434343 0.601782571919192 0.187298246666667 0.177007409196192 -0.974751332424242 -0.955912054070707 -0.956116882020202 -0.975088946161616 -0.956455428253535 -0.95749313050505 0.537257152525253 0.167098692818182 0.176382634474747 0.620372025858586 0.197459092808081 0.167382701648485 -0.0886014561515151 0.325066392424242 -0.518281204242424 -0.858393344040404 -0.975905884545455 -0.959728396474748 -0.961988358484849 -0.799179689161616 -0.827185397757576 -0.690964130952424 -0.509530434343434 0.541010471818182
8 2 6 0.266674048906593 -0.0202216031321978 -0.105614723352747 -0.492827508658791 -0.232940759736264 -0.355279828382418 -0.524161858242308 -0.255774460032967 -0.35627851413022 -0.357823991461538 -0.121587247506044 -0.422321416073626 0.391686409542308 0.199027418491209 0.428826111615385 -0.346172991951648 -0.769714771318681 -0.800186713901099 -0.678323234813187 -0.580304147146154 -0.421696946653846 -0.406880698948352 0.0417321814010989 -0.0700771613054945 -0.0438795565961538 -0.149473304003297 0.133456210682967 -0.0730605185879121 0.111906609217582 -0.0340502756223077 0.0263864224967582 0.154125756352747 -0.012808812597956 -0.0085771451643956 0.0609081351582418 0.000796767385164835 -0.0473723441024725 -0.0181631842486264 -0.257056733871429 0.101266226908791 0.672365454230769 -0.0550675502272528 0.0328742204443956 -0.943108468384615 -0.944385490274725 -0.905264808527472 -0.943917406428571 -0.945891729065934 -0.906837573467033 0.621091160082418 -0.063616373832967 0.0443961944714286 0.6806902 -0.0435223153323077 0.0106260290631868 -0.074728465207033 0.450331848296703 -0.899367112967033 -0.592369611373626 -0.946963113901099 -0.951141117692308 -0.914978508846154 -0.490370166754286 -0.831687343945055 -0.743563866126374 -0.570899354450549 0.612860288516484
11 2 6 0.27658531139557 -0.0191272531933228 -0.108941761642405 -0.58947649779557 -0.490379346996835 -0.665324314227848 -0.612553586231013 -0.498195651446835 -0.653166999791139 -0.470541758804494 -0.329067436632405 -0.555051181424051 0.507589157667722 0.381515185556962 0.709453429620253 -0.546745603506646 -0.82183870778481 -0.905603043797468 -0.899169560537975 -0.664000408597152 -0.61546674394019 -0.643397210711709 -0.112632382253165 -0.0849786194683544 -0.230991927713275 -0.130179771248734 0.103368853406297 -0.0146051318170886 0.143632667494937 -0.0213716549013291 0.014859862429557 0.203238759380696 -0.0213708690941139 0.043059703049462 0.0122313887523101 0.0530747909361076 -0.0911715921677215 -0.210541169047563 0.00278705525886076 -0.0545862478780538 0.730526184936709 0.0527387028613924 0.140209861246835 -0.975394457689873 -0.957138770727848 -0.956812000411392 -0.976401508702532 -0.957648977689873 -0.958476909841772 0.666119073509494 0.0359236066832278 0.141005639050633 0.746479457041139 0.0656269409810127 0.131722324177215 -0.129414660667025 0.487171844588608 -0.585431775379747 -0.956624848132911 -0.978391479905063 -0.960012730506329 -0.963136630632911 -0.685465690894937 -0.901494061102848 -0.423730049550316 -0.520692989306962 0.562213873725949
14 2 6 0.270184596009288 -0.0162548178510526 -0.100985935692074 -0.611671118216099 -0.374730765205077 -0.29354271467452 -0.645693876989474 -0.40204883105418 -0.322574643614241 -0.441637004092879 -0.227178624022105 -0.369147819326935 0.527576780182972 0.2941095647 0.383216655214551 -0.443227418594427 -0.847234912321981 -0.85667227120743 -0.568491715047678 -0.717554133157895 -0.556035858980805 -0.428048609191765 -0.0285057028693808 -0.0801001070993808 -0.0604045638811146 -0.151158924837988 0.046825776643839 0.0518547036321981 0.147428712402848 -0.0709038098780186 -0.0183939888476467 0.200404919742105 0.0233288206959752 -0.075468961826935 0.0265088388450155 0.0475520540473467 -0.01542648931613 -0.0614122898981424 -0.257710360158204 0.0473391719826625 0.672081224882353 -0.111701388781115 -0.161179728291022 -0.941245714736842 -0.942377305312693 -0.915927846160991 -0.941851317894737 -0.943991465027864 -0.917814817089783 0.620418882773994 -0.119902947528793 -0.150362266448916 0.679450024786997 -0.102189211920743 -0.181152512572755 0.330634172593808 0.332365096767802 -0.835308843962848 -0.525525644 -0.943574053170279 -0.948461783625387 -0.924420073591331 -0.416198637661053 -0.895842675744892 -0.875869678814241 -0.59741471252322 0.637229255201238
15 2 6 0.27821340725 -0.016464484771311 -0.112563587594512 -0.556541173089329 -0.481679537956006 -0.705706623868902 -0.586357074003659 -0.497626696257927 -0.705956270652439 -0.419304116073171 -0.322255664242866 -0.576563512179878 0.486169111495122 0.353736648456982 0.689414881006098 -0.544807644340244 -0.763841334589024 -0.891448011463415 -0.918068015304878 -0.653389762410366 -0.620813382649146 -0.717985736579573 -0.132027795246951 -0.133959958729573 -0.239040953642988 -0.0727046381530488 0.0528970124215244 0.00987918333597561 0.125789254745021 0.00157802124176829 0.0133141898106707 0.154844248018628 0.0212174653303963 0.0799262013285061 -0.0279989308447591 0.0561611157137195 -0.0455784466158537 -0.252262682184146 -0.0471929603792988 0.00308340336929878 0.688872511512195 0.102660491875 0.0372897701757012 -0.968733398628049 -0.956369493993902 -0.947240058048781 -0.969502496707317 -0.957122832286585 -0.948415141280488 0.627234995457317 0.0843258530738415 0.0404522286621951 0.703939770262195 0.113803674106707 0.026617619788528 -0.176426861919817 0.437718386859756 -0.563411485609756 -0.934969301890244 -0.971176947073171 -0.960177728896341 -0.952749455792683 -0.698774126890244 -0.862396268012195 -0.467453537720732 -0.527144167512195 0.565697029297866
